main_to_int,n_substrates,n_extra_vars,iteration,mtry,nrounds,max_depth,k
0.1,10,0,1,2,10,4,5
0.1,10,1,1,2,20,4,5
0.1,10,3,1,2,10,4,11
0.1,10,5,1,5,10,4,11
0.1,10,10,1,2,5,4,7
0.1,10,20,1,17,10,4,13
0.1,10,30,1,17,20,4,13
0.1,10,40,1,2,5,4,13
0.1,10,50,1,2,3,4,13
0.1,10,0,2,2,10,4,13
0.1,10,1,2,2,20,4,11
0.1,10,3,2,2,5,4,9
0.1,10,5,2,3,10,4,9
0.1,10,10,2,10,10,4,13
0.1,10,20,2,12,10,4,7
0.1,10,30,2,25,10,4,11
0.1,10,40,2,43,10,4,13
0.1,10,50,2,14,5,4,7
0.1,10,0,3,2,10,4,5
0.1,10,1,3,2,20,4,5
0.1,10,3,3,5,10,4,5
0.1,10,5,3,6,20,4,5
0.1,10,10,3,7,10,4,7
0.1,10,20,3,2,10,4,7
0.1,10,30,3,2,20,4,13
0.1,10,40,3,2,10,6,13
0.1,10,50,3,40,10,4,13
0.1,10,0,4,2,20,4,5
0.1,10,1,4,2,20,4,5
0.1,10,3,4,5,10,4,5
0.1,10,5,4,2,20,4,5
0.1,10,10,4,7,10,4,13
0.1,10,20,4,2,10,4,13
0.1,10,30,4,2,10,4,13
0.1,10,40,4,22,10,4,13
0.1,10,50,4,2,10,6,13
0.1,10,0,5,2,20,4,5
0.1,10,1,5,2,20,4,5
0.1,10,3,5,2,10,4,7
0.1,10,5,5,2,5,4,5
0.1,10,10,5,2,10,4,7
0.1,10,20,5,2,5,4,9
0.1,10,30,5,2,10,4,13
0.1,10,40,5,2,10,4,13
0.1,10,50,5,2,5,4,13
0.1,10,0,6,2,20,4,5
0.1,10,1,6,2,20,4,13
0.1,10,3,6,4,10,4,5
0.1,10,5,6,5,10,4,13
0.1,10,10,6,7,10,4,13
0.1,10,20,6,2,10,4,13
0.1,10,30,6,2,10,4,13
0.1,10,40,6,2,10,4,13
0.1,10,50,6,2,10,4,13
0.1,10,0,7,2,20,4,5
0.1,10,1,7,3,10,4,5
0.1,10,3,7,2,10,4,5
0.1,10,5,7,5,10,4,5
0.1,10,10,7,7,5,4,11
0.1,10,20,7,7,10,4,11
0.1,10,30,7,17,10,4,9
0.1,10,40,7,2,5,4,9
0.1,10,50,7,27,10,4,13
0.1,10,0,8,2,20,4,5
0.1,10,1,8,2,10,4,5
0.1,10,3,8,4,10,4,7
0.1,10,5,8,5,10,4,13
0.1,10,10,8,10,10,4,13
0.1,10,20,8,12,10,4,13
0.1,10,30,8,17,5,4,13
0.1,10,40,8,12,10,4,13
0.1,10,50,8,40,10,4,13
0.1,10,0,9,2,10,4,5
0.1,10,1,9,3,10,4,9
0.1,10,3,9,3,10,4,13
0.1,10,5,9,2,10,4,5
0.1,10,10,9,10,10,4,9
0.1,10,20,9,7,10,4,11
0.1,10,30,9,17,5,4,13
0.1,10,40,9,22,5,4,13
0.1,10,50,9,14,5,4,13
0.1,10,0,10,2,20,4,5
0.1,10,1,10,3,10,4,5
0.1,10,3,10,2,10,4,5
0.1,10,5,10,2,20,4,5
0.1,10,10,10,2,10,4,5
0.1,10,20,10,2,5,4,7
0.1,10,30,10,2,20,4,7
0.1,10,40,10,12,10,4,5
0.1,10,50,10,2,10,4,9
0.1,10,0,11,3,10,4,5
0.1,10,1,11,2,10,4,5
0.1,10,3,11,4,10,4,11
0.1,10,5,11,8,10,4,7
0.1,10,10,11,2,10,4,13
0.1,10,20,11,2,5,4,13
0.1,10,30,11,2,10,4,13
0.1,10,40,11,22,10,4,13
0.1,10,50,11,2,5,4,13
0.1,10,0,12,2,20,4,5
0.1,10,1,12,2,5,4,5
0.1,10,3,12,2,3,4,7
0.1,10,5,12,2,10,4,5
0.1,10,10,12,2,5,4,7
0.1,10,20,12,2,3,4,13
0.1,10,30,12,2,3,4,13
0.1,10,40,12,2,5,4,13
0.1,10,50,12,2,10,4,13
0.1,10,0,13,2,10,4,13
0.1,10,1,13,2,20,4,13
0.1,10,3,13,2,10,4,13
0.1,10,5,13,2,10,4,13
0.1,10,10,13,2,10,4,13
0.1,10,20,13,2,10,4,13
0.1,10,30,13,2,5,4,13
0.1,10,40,13,2,10,4,13
0.1,10,50,13,2,10,4,13
0.1,10,0,14,2,20,4,5
0.1,10,1,14,2,10,4,5
0.1,10,3,14,4,10,4,5
0.1,10,5,14,2,20,4,7
0.1,10,10,14,2,20,4,13
0.1,10,20,14,2,10,4,13
0.1,10,30,14,9,5,4,13
0.1,10,40,14,32,10,4,13
0.1,10,50,14,2,5,4,13
0.1,10,0,15,2,10,4,5
0.1,10,1,15,4,20,4,5
0.1,10,3,15,3,10,4,7
0.1,10,5,15,2,10,4,5
0.1,10,10,15,4,20,4,5
0.1,10,20,15,7,5,4,13
0.1,10,30,15,2,10,4,5
0.1,10,40,15,12,10,4,13
0.1,10,50,15,2,10,4,13
0.1,10,0,16,2,10,4,5
0.1,10,1,16,2,10,4,5
0.1,10,3,16,2,10,4,13
0.1,10,5,16,6,20,4,13
0.1,10,10,16,7,20,4,13
0.1,10,20,16,2,20,4,13
0.1,10,30,16,2,5,4,13
0.1,10,40,16,43,10,4,13
0.1,10,50,16,2,10,4,13
0.1,10,0,17,2,20,4,5
0.1,10,1,17,2,10,4,5
0.1,10,3,17,2,5,4,5
0.1,10,5,17,2,10,4,7
0.1,10,10,17,2,10,6,11
0.1,10,20,17,2,10,4,13
0.1,10,30,17,2,5,4,13
0.1,10,40,17,2,5,4,13
0.1,10,50,17,2,10,4,13
0.1,10,0,18,2,20,4,5
0.1,10,1,18,2,10,4,13
0.1,10,3,18,4,10,4,11
0.1,10,5,18,2,10,4,9
0.1,10,10,18,7,10,4,13
0.1,10,20,18,12,10,4,13
0.1,10,30,18,17,10,4,13
0.1,10,40,18,22,10,4,13
0.1,10,50,18,27,10,4,13
0.1,10,0,19,2,20,4,5
0.1,10,1,19,2,10,6,5
0.1,10,3,19,2,10,4,7
0.1,10,5,19,5,20,4,9
0.1,10,10,19,2,20,4,13
0.1,10,20,19,17,10,6,13
0.1,10,30,19,9,10,4,13
0.1,10,40,19,2,10,4,13
0.1,10,50,19,14,10,4,13
0.1,10,0,20,2,10,4,5
0.1,10,1,20,2,5,4,13
0.1,10,3,20,2,20,4,5
0.1,10,5,20,2,10,4,5
0.1,10,10,20,13,20,4,13
0.1,10,20,20,2,20,4,13
0.1,10,30,20,2,10,4,13
0.1,10,40,20,2,10,4,13
0.1,10,50,20,2,10,4,13
0.1,10,0,21,2,20,4,5
0.1,10,1,21,2,20,4,5
0.1,10,3,21,2,20,4,5
0.1,10,5,21,5,20,4,5
0.1,10,10,21,2,10,4,5
0.1,10,20,21,12,10,4,13
0.1,10,30,21,2,5,4,13
0.1,10,40,21,22,10,4,13
0.1,10,50,21,27,10,4,13
0.1,10,0,22,2,20,4,5
0.1,10,1,22,2,10,4,5
0.1,10,3,22,2,20,4,5
0.1,10,5,22,6,20,4,5
0.1,10,10,22,2,20,4,5
0.1,10,20,22,17,10,4,9
0.1,10,30,22,9,20,4,9
0.1,10,40,22,32,20,4,13
0.1,10,50,22,2,10,6,13
0.1,10,0,23,2,10,4,5
0.1,10,1,23,2,10,6,5
0.1,10,3,23,2,10,4,5
0.1,10,5,23,2,20,4,13
0.1,10,10,23,2,10,4,5
0.1,10,20,23,2,10,4,11
0.1,10,30,23,2,10,4,13
0.1,10,40,23,12,10,4,13
0.1,10,50,23,2,10,4,13
0.1,10,0,24,2,20,4,5
0.1,10,1,24,2,10,4,5
0.1,10,3,24,2,20,4,5
0.1,10,5,24,3,10,4,5
0.1,10,10,24,4,10,4,13
0.1,10,20,24,2,10,4,13
0.1,10,30,24,2,20,4,13
0.1,10,40,24,2,10,4,13
0.1,10,50,24,2,20,4,13
0.1,10,0,25,3,10,4,5
0.1,10,1,25,3,10,4,13
0.1,10,3,25,4,10,4,11
0.1,10,5,25,5,10,4,13
0.1,10,10,25,13,5,4,13
0.1,10,20,25,17,10,4,13
0.1,10,30,25,25,10,4,13
0.1,10,40,25,32,10,4,9
0.1,10,50,25,14,10,4,13
0.1,10,0,26,2,10,4,5
0.1,10,1,26,3,10,4,5
0.1,10,3,26,3,10,4,5
0.1,10,5,26,5,20,4,5
0.1,10,10,26,13,10,4,5
0.1,10,20,26,7,10,4,7
0.1,10,30,26,9,5,4,13
0.1,10,40,26,12,5,4,11
0.1,10,50,26,40,10,4,13
0.1,10,0,27,2,10,4,5
0.1,10,1,27,2,10,4,5
0.1,10,3,27,3,10,4,5
0.1,10,5,27,5,5,4,9
0.1,10,10,27,2,10,4,13
0.1,10,20,27,17,5,4,13
0.1,10,30,27,17,5,4,13
0.1,10,40,27,22,10,4,13
0.1,10,50,27,27,10,4,13
0.1,10,0,28,2,10,4,5
0.1,10,1,28,2,10,4,7
0.1,10,3,28,3,10,4,13
0.1,10,5,28,3,10,4,7
0.1,10,10,28,4,10,4,9
0.1,10,20,28,7,10,4,13
0.1,10,30,28,25,5,4,13
0.1,10,40,28,12,10,4,11
0.1,10,50,28,40,10,4,13
0.1,10,0,29,2,10,4,7
0.1,10,1,29,3,10,4,9
0.1,10,3,29,3,10,4,7
0.1,10,5,29,3,10,4,9
0.1,10,10,29,7,10,4,9
0.1,10,20,29,12,10,4,7
0.1,10,30,29,25,10,4,13
0.1,10,40,29,43,10,4,13
0.1,10,50,29,40,10,4,13
0.1,10,0,30,2,20,4,5
0.1,10,1,30,2,10,4,7
0.1,10,3,30,2,10,4,9
0.1,10,5,30,2,5,4,13
0.1,10,10,30,2,10,4,13
0.1,10,20,30,2,10,6,13
0.1,10,30,30,17,10,4,13
0.1,10,40,30,2,5,4,13
0.1,10,50,30,2,10,4,13
0.1,20,0,1,3,20,4,5
0.1,20,1,1,4,20,6,5
0.1,20,3,1,6,10,4,5
0.1,20,5,1,8,20,4,9
0.1,20,10,1,13,20,4,7
0.1,20,20,1,23,10,6,13
0.1,20,30,1,33,10,6,13
0.1,20,40,1,32,20,4,13
0.1,20,50,1,53,10,4,13
0.1,20,0,2,3,20,4,5
0.1,20,1,2,4,20,4,5
0.1,20,3,2,6,10,6,5
0.1,20,5,2,6,10,6,5
0.1,20,10,2,7,10,4,5
0.1,20,20,2,17,10,4,13
0.1,20,30,2,25,10,4,11
0.1,20,40,2,22,20,4,13
0.1,20,50,2,27,20,4,13
0.1,20,0,3,3,20,4,5
0.1,20,1,3,3,20,4,5
0.1,20,3,3,5,20,4,5
0.1,20,5,3,8,20,4,7
0.1,20,10,3,10,20,4,13
0.1,20,20,3,23,10,4,13
0.1,20,30,3,25,10,6,13
0.1,20,40,3,22,20,4,13
0.1,20,50,3,40,10,4,13
0.1,20,0,4,3,20,4,5
0.1,20,1,4,4,20,4,5
0.1,20,3,4,5,20,4,5
0.1,20,5,4,6,20,4,5
0.1,20,10,4,10,20,4,5
0.1,20,20,4,17,20,4,13
0.1,20,30,4,17,20,4,13
0.1,20,40,4,43,20,4,13
0.1,20,50,4,27,20,4,13
0.1,20,0,5,3,20,4,5
0.1,20,1,5,4,10,6,5
0.1,20,3,5,5,20,4,5
0.1,20,5,5,6,20,4,7
0.1,20,10,5,10,20,6,9
0.1,20,20,5,17,10,4,13
0.1,20,30,5,25,20,4,13
0.1,20,40,5,22,20,4,13
0.1,20,50,5,53,20,4,13
0.1,20,0,6,3,20,6,7
0.1,20,1,6,4,30,4,5
0.1,20,3,6,5,20,4,9
0.1,20,5,6,6,20,4,9
0.1,20,10,6,13,20,4,5
0.1,20,20,6,23,20,4,13
0.1,20,30,6,25,20,4,13
0.1,20,40,6,22,10,4,13
0.1,20,50,6,40,10,4,13
0.1,20,0,7,3,20,4,5
0.1,20,1,7,4,20,4,5
0.1,20,3,7,5,20,4,5
0.1,20,5,7,6,20,4,7
0.1,20,10,7,13,20,4,5
0.1,20,20,7,17,20,4,13
0.1,20,30,7,33,20,4,13
0.1,20,40,7,32,10,6,13
0.1,20,50,7,53,10,4,13
0.1,20,0,8,3,20,4,5
0.1,20,1,8,4,20,4,5
0.1,20,3,8,6,20,6,5
0.1,20,5,8,8,10,6,7
0.1,20,10,8,10,10,4,9
0.1,20,20,8,23,10,4,13
0.1,20,30,8,25,10,4,11
0.1,20,40,8,32,10,4,7
0.1,20,50,8,40,10,6,13
0.1,20,0,9,2,20,4,5
0.1,20,1,9,4,10,6,5
0.1,20,3,9,5,20,4,5
0.1,20,5,9,8,10,6,7
0.1,20,10,9,13,20,4,5
0.1,20,20,9,17,10,6,13
0.1,20,30,9,33,20,4,13
0.1,20,40,9,22,20,4,13
0.1,20,50,9,27,20,4,13
0.1,20,0,10,3,20,4,5
0.1,20,1,10,4,20,6,5
0.1,20,3,10,5,10,6,5
0.1,20,5,10,5,10,6,5
0.1,20,10,10,10,10,6,5
0.1,20,20,10,23,20,4,13
0.1,20,30,10,33,10,6,13
0.1,20,40,10,32,20,6,13
0.1,20,50,10,53,10,6,13
0.1,20,0,11,3,20,4,5
0.1,20,1,11,4,20,4,5
0.1,20,3,11,5,20,4,5
0.1,20,5,11,6,20,4,5
0.1,20,10,11,13,20,4,7
0.1,20,20,11,12,20,4,13
0.1,20,30,11,25,20,4,13
0.1,20,40,11,32,10,6,13
0.1,20,50,11,14,20,4,13
0.1,20,0,12,3,20,4,5
0.1,20,1,12,4,20,4,5
0.1,20,3,12,6,10,6,11
0.1,20,5,12,8,10,4,11
0.1,20,10,12,13,10,4,13
0.1,20,20,12,17,10,4,13
0.1,20,30,12,33,10,4,13
0.1,20,40,12,32,10,4,13
0.1,20,50,12,27,10,4,13
0.1,20,0,13,3,20,4,5
0.1,20,1,13,4,10,4,5
0.1,20,3,13,5,10,6,9
0.1,20,5,13,6,20,4,11
0.1,20,10,13,13,10,4,13
0.1,20,20,13,17,10,6,13
0.1,20,30,13,17,20,4,13
0.1,20,40,13,22,20,4,13
0.1,20,50,13,40,10,4,13
0.1,20,0,14,3,20,6,5
0.1,20,1,14,4,20,6,5
0.1,20,3,14,3,20,4,5
0.1,20,5,14,8,10,6,5
0.1,20,10,14,10,10,6,7
0.1,20,20,14,12,10,6,13
0.1,20,30,14,17,10,4,11
0.1,20,40,14,32,20,4,13
0.1,20,50,14,53,20,4,13
0.1,20,0,15,3,20,4,5
0.1,20,1,15,4,20,4,5
0.1,20,3,15,5,20,4,5
0.1,20,5,15,6,20,4,7
0.1,20,10,15,10,10,4,9
0.1,20,20,15,23,10,4,13
0.1,20,30,15,33,10,6,13
0.1,20,40,15,43,10,4,13
0.1,20,50,15,40,10,4,13
0.1,20,0,16,3,20,4,5
0.1,20,1,16,4,20,4,5
0.1,20,3,16,4,20,4,5
0.1,20,5,16,5,10,4,5
0.1,20,10,16,13,10,4,5
0.1,20,20,16,17,10,4,11
0.1,20,30,16,33,10,4,13
0.1,20,40,16,22,10,4,13
0.1,20,50,16,40,10,4,13
0.1,20,0,17,3,20,4,5
0.1,20,1,17,4,20,4,7
0.1,20,3,17,6,10,4,5
0.1,20,5,17,8,10,6,7
0.1,20,10,17,13,10,4,7
0.1,20,20,17,17,10,4,13
0.1,20,30,17,33,10,4,11
0.1,20,40,17,32,10,6,11
0.1,20,50,17,40,10,4,13
0.1,20,0,18,3,20,6,5
0.1,20,1,18,4,20,6,5
0.1,20,3,18,5,20,4,7
0.1,20,5,18,6,20,4,11
0.1,20,10,18,7,20,4,7
0.1,20,20,18,12,10,6,13
0.1,20,30,18,9,10,4,9
0.1,20,40,18,32,20,4,9
0.1,20,50,18,40,20,4,13
0.1,20,0,19,3,20,6,5
0.1,20,1,19,4,20,4,5
0.1,20,3,19,5,20,4,5
0.1,20,5,19,5,20,4,5
0.1,20,10,19,10,20,4,11
0.1,20,20,19,17,20,4,13
0.1,20,30,19,25,10,4,13
0.1,20,40,19,22,10,6,11
0.1,20,50,19,40,10,4,13
0.1,20,0,20,3,20,4,5
0.1,20,1,20,4,20,4,5
0.1,20,3,20,5,20,6,5
0.1,20,5,20,8,20,4,7
0.1,20,10,20,13,20,4,7
0.1,20,20,20,23,20,4,11
0.1,20,30,20,17,20,4,13
0.1,20,40,20,32,10,6,13
0.1,20,50,20,27,10,6,13
0.1,20,0,21,3,10,6,5
0.1,20,1,21,4,10,4,5
0.1,20,3,21,5,20,4,5
0.1,20,5,21,8,20,4,7
0.1,20,10,21,13,20,4,7
0.1,20,20,21,17,20,4,7
0.1,20,30,21,33,20,6,5
0.1,20,40,21,22,20,4,5
0.1,20,50,21,40,20,4,9
0.1,20,0,22,2,20,6,5
0.1,20,1,22,4,20,4,5
0.1,20,3,22,6,20,4,5
0.1,20,5,22,5,10,6,5
0.1,20,10,22,10,30,4,5
0.1,20,20,22,12,10,6,13
0.1,20,30,22,33,10,6,13
0.1,20,40,22,43,20,4,13
0.1,20,50,22,53,10,6,13
0.1,20,0,23,3,10,6,5
0.1,20,1,23,4,20,4,5
0.1,20,3,23,6,20,4,7
0.1,20,5,23,8,20,4,7
0.1,20,10,23,10,20,4,9
0.1,20,20,23,17,20,4,13
0.1,20,30,23,25,20,4,13
0.1,20,40,23,32,10,6,13
0.1,20,50,23,40,10,6,13
0.1,20,0,24,3,20,4,5
0.1,20,1,24,4,20,4,5
0.1,20,3,24,5,20,4,7
0.1,20,5,24,8,10,6,11
0.1,20,10,24,10,10,6,7
0.1,20,20,24,23,20,4,13
0.1,20,30,24,17,20,4,13
